rank,country,country_code,happiness_score,rank_voice,rank_stability,rank_effectiveness,rank_quality,rank_corruption,rank_law
1,Finland,FIN,7.821,98.55,79.72,96.7,97.17,99.53,100.0
2,Denmark,DNK,7.636,98.07,77.36,98.58,98.58,100.0,99.53
3,Iceland,ISL,7.557,95.17,95.28,93.87,88.21,91.51,95.28
4,Switzerland,CHE,7.512,99.03,92.45,99.53,94.34,97.17,97.64
5,Netherlands,NLD,7.415,97.58,71.23,95.28,96.7,96.7,93.4
6,Luxembourg,LUX,7.404,97.1,86.32,97.64,98.11,96.23,98.58
7,Sweden,SWE,7.384,96.62,80.19,94.81,96.23,97.64,93.87
8,Norway,NOR,7.365,100.0,76.42,98.11,91.98,98.11,98.11
9,Israel,ISR,7.364,67.63,11.79,85.38,86.32,78.77,81.13
10,New Zealand,NZL,7.2,99.52,96.23,89.15,99.06,99.06,96.7
11,Austria,AUT,7.163,94.2,68.87,91.51,87.26,84.91,95.75
12,Australia,AUS,7.162,93.24,81.6,92.92,99.53,95.28,91.04
13,Ireland,IRL,7.041,96.14,78.77,93.4,95.28,93.87,91.51
14,Germany,DEU,7.034,94.69,67.45,88.21,92.45,95.75,91.98
15,Canada,CAN,7.025,95.65,73.58,94.34,95.75,93.4,92.92
16,United States,USA,6.977,72.95,45.28,86.79,91.04,82.55,88.68
17,United Kingdom,GBR,6.943,89.37,62.26,85.85,93.4,92.92,89.15
18,Czechia,CZE,6.92,80.68,75.0,81.13,88.68,74.53,83.49
19,Belgium,BEL,6.805,92.75,65.57,84.91,86.79,89.62,88.21
20,France,FRA,6.687,85.99,56.13,83.02,85.38,85.38,85.38
21,Bahrain,BHR,6.647,10.14,30.66,72.17,78.3,59.43,65.09
22,Slovenia,SVN,6.63,77.78,70.75,80.66,73.58,78.3,82.55
23,Costa Rica,CRI,6.582,82.13,83.49,55.66,71.23,66.98,64.62
24,United Arab Emirates,ARE,6.576,18.36,70.28,88.68,82.08,83.49,78.77
25,Saudi Arabia,SAU,6.523,7.73,32.08,70.75,65.09,63.68,58.02
26,Taiwan Province of China,TWN,6.512,83.09,72.17,90.57,90.57,83.02,86.79
27,Singapore,SGP,6.48,44.44,97.17,100.0,100.0,98.58,99.06
28,Romania,ROU,6.477,63.77,60.85,53.3,63.68,55.66,62.26
29,Spain,ESP,6.476,79.71,53.3,77.83,75.94,75.0,77.36
30,Uruguay,URY,6.474,91.79,88.21,77.36,74.06,91.98,75.94
31,Italy,ITA,6.467,82.61,58.49,66.98,68.87,68.87,58.49
32,Kosovo,Kosovo,6.455,43.48,37.26,44.34,38.21,47.17,39.62
33,Malta,MLT,6.447,83.57,80.66,76.89,73.11,61.79,76.42
34,Lithuania,LTU,6.446,81.16,69.34,79.72,87.74,76.42,83.02
35,Slovakia,SVK,6.391,75.36,59.91,63.68,76.89,60.38,70.28
36,Estonia,EST,6.341,87.92,71.7,89.62,92.92,91.04,89.62
37,Panama,PAN,6.309,62.32,54.72,47.64,55.19,28.77,40.09
38,Brazil,BRA,6.293,55.56,33.96,30.66,43.87,32.08,43.4
39,Guatemala,GTM,6.262,33.82,34.91,16.51,41.51,11.32,13.21
40,Kazakhstan,KAZ,6.234,19.81,32.55,58.49,52.83,48.58,35.85
41,Cyprus,CYP,6.221,73.91,58.96,75.47,75.47,66.04,68.87
42,Latvia,LVA,6.18,75.85,60.38,75.0,84.91,75.47,79.72
43,Serbia,SRB,6.178,42.51,40.09,57.08,56.13,35.38,49.06
44,Chile,CHL,6.172,78.26,51.42,69.34,81.13,80.66,72.64
