RANK,happiness_score,country,precipitation
146,2.404,Afghanistan,327
90,5.199,Albania,1485
24,6.576,"United Arab Emirates",78
57,5.967,Argentina,591
82,5.399,Armenia,562
12,7.162,Australia,534
11,7.163,Austria,1110
92,5.173,Azerbaijan,447
19,6.805,Belgium,847
115,4.623,Benin,1039
113,4.67,"Burkina Faso",748
94,5.155,Bangladesh,2666
85,5.371,Bulgaria,608
21,6.647,Bahrain,83
67,5.768,"Bosnia and Herzegovina",1028
65,5.821,Belarus,618
71,5.6,Bolivia,1146
38,6.293,Brazil,1761
142,3.471,Botswana,416
15,7.025,Canada,537
4,7.512,Switzerland,1537
44,6.172,Chile,1522
72,5.585,China,645
88,5.235,"Ivory Coast",1348
102,5.048,Cameroon,1604
99,5.075,Congo,1543
99,5.075,Congo,1646
66,5.781,Colombia,3240
116,4.609,Comoros,900
23,6.582,"Costa Rica",2926
41,6.221,Cyprus,498
18,6.92,Czechia,677
14,7.034,Germany,700
2,7.636,Denmark,703
69,5.737,"Dominican Republic",1410
96,5.122,Algeria,89
76,5.533,Ecuador,2274
129,4.288,Egypt,18.1
29,6.476,Spain,636
36,6.341,Estonia,626
131,4.241,Ethiopia,848
1,7.821,Finland,536
20,6.687,France,867
106,4.958,Gabon,1831
17,6.943,"United Kingdom",1220
105,4.973,Georgia,1026
111,4.872,Ghana,1187
109,4.891,Guinea,1651
93,5.164,Gambia,836
58,5.948,Greece,652
39,6.262,Guatemala,1996
55,6.022,Honduras,1976
47,6.125,Croatia,1113
51,6.086,Hungary,589
87,5.24,Indonesia,2702
136,3.777,India,1083
13,7.041,Ireland,1118
110,4.888,Iran,228
107,4.941,Iraq,216
3,7.557,Iceland,1940
9,7.364,Israel,435
31,6.467,Italy,832
63,5.85,Jamaica,2051
134,4.152,Jordan,111
54,6.039,Japan,1668
40,6.234,Kazakhstan,250
119,4.543,Kenya,630
64,5.828,Kyrgyzstan,533
114,4.64,Cambodia,1904
50,6.106,Kuwait,121
95,5.14,Laos,1834
145,2.955,Lebanon,661
97,5.122,Liberia,2391
86,5.33,Libya,56
127,4.362,"Sri Lanka",1712
141,3.512,Lesotho,788
34,6.446,Lithuania,656
6,7.404,Luxembourg,934
42,6.18,Latvia,667
100,5.06,Morocco,346
62,5.857,Moldova,450
128,4.339,Madagascar,1513
46,6.128,Mexico,758
89,5.199,"North Macedonia",619
123,4.479,Mali,282
33,6.447,Malta,560
126,4.394,Myanmar,2091
68,5.761,Mongolia,241
101,5.048,Mozambique,1032
133,4.153,Mauritania,92
52,6.071,Mauritius,2041
138,3.75,Malawi,1181
70,5.711,Malaysia,2875
124,4.459,Namibia,285
104,5.003,Niger,151
118,4.552,Nigeria,1150
45,6.165,Nicaragua,2280
5,7.415,Netherlands,778
8,7.365,Norway,1414
84,5.377,Nepal,1500
10,7.2,"New Zealand",1732
121,4.516,Pakistan,494
37,6.309,Panama,2928
74,5.559,Peru,1738
60,5.904,Philippines,2348
48,6.123,Poland,600
56,6.016,Portugal,854
73,5.578,Paraguay,1130
28,6.477,Romania,637
80,5.459,Russia,460
143,3.268,Rwanda,1212
25,6.523,"Saudi Arabia",59
103,5.046,Senegal,686
27,6.48,Singapore,2497
140,3.574,"Sierra Leone",2526
49,6.12,"El Salvador",1784
35,6.391,Slovakia,824
22,6.63,Slovenia,1162
7,7.384,Sweden,624
130,4.251,Chad,322
135,4.112,Togo,1168
61,5.891,Thailand,1622
83,5.377,Tajikistan,691
78,5.474,Turkmenistan,161
120,4.516,Tunisia,207
112,4.744,Turkey,593
139,3.702,Tanzania,1071
117,4.603,Uganda,1180
98,5.084,Ukraine,565
30,6.474,Uruguay,1300
16,6.977,"United States",715
53,6.063,Uzbekistan,206
108,4.925,Venezuela,2044
77,5.485,Vietnam,1821
132,4.197,Yemen,167
91,5.194,"South Africa",495
137,3.76,Zambia,1020
144,2.995,Zimbabwe,657
