RANK,happiness_score,country,household_size,gdp_per_capita
146,2.404,Afghanistan,0,352.604
90,5.199,Albania,0,6810.11
96,5.122,Algeria,4.94,5023.25
57,5.967,Argentina,2.95,13650.6
82,5.399,Armenia,3.54,7018.05
12,7.162,Australia,2.55,65077.7
11,7.163,Austria,2.27,52084.7
92,5.173,Azerbaijan,4.55,7770.59
21,6.647,Bahrain,0,30146.9
94,5.155,Bangladesh,4.26,2687.9
65,5.821,Belarus,2.16,7994.65
19,6.805,Belgium,2.36,49942.1
115,4.623,Benin,5.19,1304.99
71,5.6,Bolivia,0,3600.12
67,5.768,"Bosnia and Herzegovina",3.5,7587.59
38,6.293,Brazil,3.31,9065.5
113,4.67,"Burkina Faso",5.92,830.044
114,4.64,Cambodia,4.61,1759.61
102,5.048,Cameroon,4.99,1563.49
15,7.025,Canada,2.45,55509.4
130,4.251,Chad,5.97,699.463
44,6.172,Chile,3.04,15411.2
66,5.781,Colombia,3.53,6657.09
116,4.609,Comoros,5.37,1484.89
23,6.582,"Costa Rica",3.21,13365.4
47,6.125,Croatia,2.8,18673.2
41,6.221,Cyprus,2.75,32048.2
18,6.92,Czechia,2.34,27226.6
2,7.636,Denmark,0,67790.1
69,5.737,"Dominican Republic",3.09,10111.2
76,5.533,Ecuador,3.78,6476.64
49,6.12,"El Salvador",3.92,5048.44
36,6.341,Estonia,2.3,28114.1
131,4.241,Ethiopia,4.73,1027.5
1,7.821,Finland,2.07,50734.7
20,6.687,France,2.22,40886.3
106,4.958,Gabon,4.1,8820.35
105,4.973,Georgia,3.42,6729.85
14,7.034,Germany,2.14,48718
111,4.872,Ghana,3.83,2218.41
58,5.948,Greece,2.56,20867.3
39,6.262,Guatemala,4.81,5473.21
109,4.891,Guinea,6.39,1515.17
55,6.022,Honduras,3.87,3012.22
51,6.086,Hungary,2.36,18355.8
3,7.557,Iceland,0,75135.1
136,3.777,India,4.38,2366.31
87,5.24,Indonesia,3.86,4787.91
107,4.941,Iraq,6.35,6441.92
13,7.041,Ireland,2.83,103983
9,7.364,Israel,3.14,54930.9
31,6.467,Italy,2.4,35068.8
88,5.235,"Ivory Coast",0,2491.9
63,5.85,Jamaica,3.18,6047.22
54,6.039,Japan,2.33,34017.3
134,4.152,Jordan,4.72,4311
40,6.234,Kazakhstan,3.44,11484.4
119,4.543,Kenya,3.75,2099.3
32,6.455,Kosovo,4.9,5290.98
50,6.106,Kuwait,0,42823.8
95,5.14,Laos,0,2054.43
42,6.18,Latvia,2.26,21508.4
145,2.955,Lebanon,0,3823.94
141,3.512,Lesotho,3.73,992.857
97,5.122,Liberia,4.58,754.533
86,5.33,Libya,0,8211.38
34,6.446,Lithuania,2.38,25078.7
6,7.404,Luxembourg,2.41,125006
128,4.339,Madagascar,4.5,516.772
138,3.75,Malawi,4.28,643.433
70,5.711,Malaysia,4.56,11993.2
123,4.479,Mali,5.81,831.223
33,6.447,Malta,2.67,34563.4
133,4.153,Mauritania,5.77,2057.38
52,6.071,Mauritius,3.48,10239.8
46,6.128,Mexico,3.74,11476.7
62,5.857,Moldova,0,5715.28
68,5.761,Mongolia,3.63,5045.5
75,5.547,Montenegro,3.29,10093.4
100,5.06,Morocco,4.58,3441.99
101,5.048,Mozambique,4.52,558.299
126,4.394,Myanmar,4.22,1149.02
124,4.459,Namibia,4.24,4895.68
84,5.377,Nepal,4.25,1348.16
5,7.415,Netherlands,2.23,57025
10,7.2,"New Zealand",2.6,48216.5
45,6.165,Nicaragua,4.92,2252.31
104,5.003,Niger,5.92,588.899
118,4.552,Nigeria,4.66,2162.63
89,5.199,"North Macedonia",0,7485.6
8,7.365,Norway,2.22,108798
121,4.516,Pakistan,6.8,1589.26
37,6.309,Panama,3.64,17357.6
73,5.578,Paraguay,3.87,6187.07
74,5.559,Peru,3.46,7239.11
60,5.904,Philippines,4.23,3499.11
48,6.123,Poland,2.82,18732.5
56,6.016,Portugal,2.58,24515.3
28,6.477,Romania,2.67,15692.3
80,5.459,Russia,0,15445.2
143,3.268,Rwanda,4.28,966.571
25,6.523,"Saudi Arabia",0,30447.9
103,5.046,Senegal,8.66,1594.99
43,6.178,Serbia,2.85,9537.68
140,3.574,"Sierra Leone",5.29,475.796
27,6.48,Singapore,2.95,88428.7
35,6.391,Slovakia,2.8,21279.5
22,6.63,Slovenia,2.47,28439.3
91,5.194,"South Africa",3.36,6766.48
29,6.476,Spain,2.69,29674.5
127,4.362,"Sri Lanka",0,3342.72
7,7.384,Sweden,0,56299.5
4,7.512,Switzerland,2.21,93259.9
83,5.377,Tajikistan,5.99,1076.43
139,3.702,Tanzania,0,1193.36
61,5.891,Thailand,2.84,6913.05
135,4.112,Togo,4.35,923.24
120,4.516,Tunisia,3.89,3607.91
112,4.744,Turkey,0,10674.5
78,5.474,Turkmenistan,5.22,8792.55
117,4.603,Uganda,4.87,964.354
98,5.084,Ukraine,2.53,4575.98
24,6.576,"United Arab Emirates",0,53708
17,6.943,"United Kingdom",2.27,45564.2
16,6.977,"United States",0,77246.7
30,6.474,Uruguay,3.02,20499.2
53,6.063,Uzbekistan,5.22,2276.16
77,5.485,Vietnam,3.44,4179.01
137,3.76,Zambia,5,1456.9
144,2.995,Zimbabwe,4.02,1676.82
