country_name,gdpc,unemployment,inflation
aruba,33300.83882,0.0,0.0
africa eastern and southern,1642.432039,7.448221786,10.77375122
afghanistan,352.6037331,14.1,0.0
africa western and central,1788.875347,3.737765512,7.967573616
angola,2933.484644,14.693,21.35529013
albania,6810.114041,11.588,6.725202715
andorra,42350.69707,0.0,0.0
united arab emirates,53707.98008,2.873,4.827888596
argentina,13650.60463,6.805,0.0
armenia,7018.051504,8.608,8.64091109
american samoa,19673.3901,0.0,0.0
antigua and barbuda,19919.72669,0.0,7.531078346
australia,65077.67667,3.701,6.594096713
austria,52084.6812,4.992,8.546869932
azerbaijan,7770.594223,5.65,13.85225901
burundi,259.0250314,0.919,18.80087867
belgium,49942.09064,5.558,9.597511729
benin,1304.994797,1.473,1.350778636
burkina faso,830.0439659,5.348,14.29023543
bangladesh,2687.899063,5.247,7.696954372
bulgaria,13974.44925,4.268,15.32525893
bahrain,30146.92503,1.326,3.625741043
"bahamas, the",32041.25039,9.87,5.605406336
bosnia and herzegovina,7587.588173,12.657,0.0
belarus,7994.648061,3.574,15.20967527
belize,6984.21696,8.724,6.276893194
bermuda,123091.1235,0.0,0.0
bolivia,3600.121635,3.552,1.746328729
brazil,9065.497334,9.231,9.28010609
barbados,20738.45119,8.493,0.0
brunei darussalam,37152.47697,5.191,3.682250306
bhutan,3704.018395,5.947,5.639166714
botswana,7726.110997,23.615,11.66556748
central african republic,427.0580962,6.337,5.583167352
canada,55509.39318,5.28,6.802801153
switzerland,93259.90572,4.3,2.835027986
channel islands,64501.27424,5.91,0.0
chile,15411.17395,8.299,11.64386671
china,12662.58317,4.98,1.973575557
ivory coast,2491.895934,2.434,5.276167243
cameroon,1563.48894,3.687,6.247677133
"congo, dem. rep.",664.5935433,4.585,0.0
"congo, rep.",2649.230634,20.261,3.043443347
colombia,6657.086697,10.547,10.17723135
comoros,1484.892465,5.854,0.0
cabo verde,3883.911159,12.272,7.930929254
costa rica,13365.3564,11.325,8.274774902
cuba,0.0,1.254,0.0
curacao,20492.81531,0.0,0.0
cayman islands,96073.76359,0.0,0.0
cyprus,32048.24805,6.807,8.39548298
czechia,27226.61564,2.224,15.10016515
germany,48717.99114,3.135,6.872574386
djibouti,3278.138696,26.367,5.17980848
dominica,8347.32336,0.0,7.780615252
denmark,67790.05399,4.434,7.696566999
dominican republic,10111.24571,5.504,8.811092093
algeria,5023.252932,12.437,9.265515516
east asia & pacific (excluding high income),9916.804344,4.239945997,5.46343652
early-demographic dividend,4099.075913,5.631129791,7.198616156
europe & central asia (excluding high income),7302.238611,7.621182823,13.85225901
ecuador,6476.644575,3.761,3.466169722
"egypt, arab rep.",4295.407496,7.344,13.89566098
eritrea,0.0,5.941,0.0
spain,29674.54429,12.917,8.390576341
estonia,28114.14318,5.571,19.39826341
ethiopia,1027.498631,3.493,33.88987971
finland,50734.71075,6.719,7.123507733
fiji,5356.16438,4.481,4.520192664
france,40886.25327,7.308,5.222367484
faroe islands,66979.27732,0.0,0.0
"micronesia, fed. sts.",3766.511335,0.0,5.408743755
gabon,8820.347338,20.501,4.231247983
united kingdom,45564.15694,3.73,7.922048831
georgia,6729.846599,11.657,11.89816542
ghana,2218.414758,3.084,31.2558951
gibraltar,0.0,0.0,0.0
guinea,1515.167948,5.328,10.493041
"gambia, the",803.808655,6.082,11.51311984
guinea-bissau,814.1119901,3.204,9.393838775
equatorial guinea,8052.256529,8.746,4.786717047
greece,20867.26909,12.426,9.645259813
grenada,9762.414721,0.0,2.580539259
greenland,0.0,0.0,0.0
guatemala,5473.208564,3.051,6.885128233
guam,40227.27537,5.527,0.0
guyana,18199.47484,12.423,6.115055501
"hong kong sar, china",48828.12125,4.318,1.881367072
honduras,3012.217341,7.037,9.089639115
heavily indebted poor countries (hipc),1110.130433,4.534132529,9.621476085
croatia,18673.17799,6.96,10.78058068
haiti,1748.257135,14.719,33.98393195
hungary,18355.82781,3.609,14.60814395
ibrd only,7681.295257,5.54294375,8.811092093
ida & ibrd total,6006.273097,5.423487634,8.64091109
ida total,1539.293717,5.032833817,8.21619711
ida blend,1942.51277,5.148425014,6.378146951
indonesia,4787.912364,3.462,4.209463834
ida only,1339.941954,4.980091822,9.525266286
isle of man,0.0,0.0,0.0
india,2366.309609,4.822,6.699034141
not classified,0.0,0.0,0.0
ireland,103983.2913,4.479,7.829457364
"iran, islamic rep.",4668.457443,9.085,43.48846417
iraq,6441.917365,15.588,4.994765964
iceland,75135.09161,3.789,8.308755116
israel,54930.93881,3.695,4.393596659
italy,35068.83597,8.069,8.201289912
jamaica,6047.216444,4.083,10.34956884
jordan,4311.000051,18.2,4.229155689
japan,34017.27181,2.6,2.497702782
kazakhstan,11484.41681,4.86,15.02786444
kenya,2099.298568,5.805,7.659862683
kyrgyz republic,1739.8,4.055,13.92290932
cambodia,1759.608023,0.247,5.343702649
kiribati,2061.393041,0.0,0.0
st. kitts and nevis,20593.60912,0.0,2.668175331
"korea, rep.",32394.68337,2.857,5.089513651
kuwait,42823.82783,2.124,3.98064962
latin america & caribbean (excluding high income),9033.75538,6.887760495,8.274774902
